Timestamp,Age,Gender,Please select 6 outfit that you prefer the most! (Female),Please select 6 outfit that you prefer the most! (Male)
2022/07/04 9:52:35 am GMT+8,25 - 54,Female,Indie Style;Kpop Style;Lolita Style;Preppy Style;Vintage Style;Y2k Style,
2022/07/04 9:54:10 am GMT+8,25 - 54,Female,Artsy Style;Grunge Style;Lolita Style;Preppy Style;Vintage Style;Y2k Style,
2022/07/04 9:54:47 am GMT+8,25 - 54,Female,Artsy Style;Indie Style;Kpop Style;Lolita Style;Preppy Style;Vintage Style,
2022/07/04 9:56:05 am GMT+8,25 - 54,Female,Biker Style;Grunge Style;Hip Hop Style;Punk Style;Sporty Style;Streetwear Style,
2022/07/04 9:56:41 am GMT+8,25 - 54,Female,Bohemian Style;Chic Style;Classy Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/04 9:57:19 am GMT+8,25 - 54,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Sporty Style;Streetwear Style,
2022/07/04 9:57:51 am GMT+8,25 - 54,Female,Biker Style;Casual Style;Comfy Style;Hip Hop Style;Streetwear Style;Y2k Style,
2022/07/04 9:58:32 am GMT+8,25 - 54,Female,Artsy Style;Biker Style;Casual Style;Hip Hop Style;Punk Style;Streetwear Style,
2022/07/04 9:59:04 am GMT+8,25 - 54,Female,Artsy Style;Indie Style;Kpop Style;Vacation Style;Vintage Style;Y2k Style,
2022/07/04 10:00:37 am GMT+8,25 - 54,Female,Artsy Style;Bohemian Style;Casual Style;Vacation Style;Vintage Style;Y2k Style,
2022/07/04 10:02:23 am GMT+8,25 - 54,Female,Artsy Style;Bohemian Style;Ethnic Style;Grunge Style;Vintage Style;Y2k Style,
2022/07/04 10:03:12 am GMT+8,25 - 54,Female,Artsy Style;Casual Style;Indie Style;Kpop Style;Streetwear Style;Y2k Style,
2022/07/04 10:05:55 am GMT+8,55 - 64,Female,Artsy Style;Bohemian Style;Chic Style;Girl Next Door Style;Indie Style;Vintage Style,
2022/07/04 10:07:50 am GMT+8,25 - 54,Female,Biker Style;Casual Style;Chic Style;Classy Style;Sporty Style;Streetwear Style,
2022/07/04 10:19:27 am GMT+8,25 - 54,Female,Casual Style;Chic Style;Comfy Style;Evening Style;Formal Office Style;Girl Next Door Style,
2022/07/04 10:22:10 am GMT+8,55 - 64,Female,Artsy Style;Bohemian Style;Girl Next Door Style;Preppy Style;Vintage Style;Y2k Style,
2022/07/04 10:23:46 am GMT+8,55 - 64,Female,Biker Style;Casual Style;Chic Style;Classy Style;Punk Style;Streetwear Style,
2022/07/04 10:24:30 am GMT+8,55 - 64,Female,Artsy Style;Bohemian Style;Chic Style;Ethnic Style;Evening Style;Vintage Style,
2022/07/04 10:26:03 am GMT+8,55 - 64,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Sexy Style;Sporty Style,
2022/07/04 10:26:55 am GMT+8,55 - 64,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Sexy Style;Vacation Style,
2022/07/04 10:28:56 am GMT+8,55 - 64,Female,Chic Style;Classy Style;Ethnic Style;Evening Style;Sexy Style;Vintage Style,
2022/07/04 10:30:43 am GMT+8,55 - 64,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Sexy Style;Vacation Style,
2022/07/04 10:33:24 am GMT+8,55 - 64,Female,Casual Style;Comfy Style;Girl Next Door Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/04 10:34:05 am GMT+8,55 - 64,Female,Bohemian Style;Chic Style;Classy Style;Ethnic Style;Evening Style;Sporty Style,
2022/07/04 10:34:57 am GMT+8,55 - 64,Female,Chic Style;Classy Style;Evening Style;Formal Office Style;Girl Next Door Style;Sexy Style,
2022/07/04 10:35:26 am GMT+8,55 - 64,Female,Casual Style;Comfy Style;Formal Office Style;Girl Next Door Style;Sporty Style;Vacation Style,
2022/07/04 10:35:52 am GMT+8,55 - 64,Female,Bohemian Style;Casual Style;Comfy Style;Girl Next Door Style;Sporty Style;Vacation Style,
2022/07/04 10:36:18 am GMT+8,55 - 64,Female,Artsy Style;Bohemian Style;Ethnic Style;Evening Style;Grunge Style;Vintage Style,
2022/07/04 10:36:36 am GMT+8,55 - 64,Female,Chic Style;Classy Style;Ethnic Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/04 10:36:58 am GMT+8,55 - 64,Female,Casual Style;Chic Style;Classy Style;Formal Office Style;Sexy Style;Vacation Style,
2022/07/04 10:37:23 am GMT+8,55 - 64,Female,Casual Style;Comfy Style;Girl Next Door Style;Indie Style;Sporty Style;Vacation Style,
2022/07/04 10:38:23 am GMT+8,55 - 64,Female,Artsy Style;Bohemian Style;Grunge Style;Indie Style;Vintage Style;Y2k Style,
2022/07/04 10:38:49 am GMT+8,55 - 64,Female,Casual Style;Comfy Style;Hip Hop Style;Sporty Style;Streetwear Style;Vacation Style,
